cast_id,character,movie_id,name,order
67,Gothi,1087192,Naomi Wirthner,10
48,Naveen Tripathi,1071585,Mayen Mehta,10
40,Lū'au Manager,552524,Jason Scott Lee,10
28,Shinobu Kocho (voice),1311031,Saori Hayami,10
14,Thug,1315986,Nico Seedsman,10
197,Jor-El,1061474,Bradley Cooper,10
34,Fat Jerry,1011477,Nicholas Carella,10
32,Yug,1119878,CJ. Bloomfield,10
4,Chris,1124619,Justin Hartley,10
192,Franklin Richards,617126,Ada Scott,10
36,Nogi,541671,Sharon Duncan-Brewster,10
54,Bobby Atwater,1234821,Ed Skrein,10
11,Kevin,1374534,Yannick Jozefzoon,10
29,Pilot Demon / Variety Show Host 2 / Mystery Saja (voice),803796,Alan Lee,10
105,Holt,986056,Chris Bauer,10
19,Iris (1960's),574475,Brec Bassinger,10
16,Roman,1058537,William McNamara,10
74,Konrad,846422,Slavko Sobin,10
16,Olga the Killer,749170,Katrina Durden,10
11,Ichikawa,968171,Hajime Tanimoto,10
