id,average_rating,vote_count,rating_distribution
1087192,8.097,1187,{'7.0': 1}
1071585,7.7,456,{'6.0': 2}
552524,7.3,1030,"{'7.0': 1, '6.0': 2, '9.0': 1, '8.0': 1}"
1311031,6.447,19,{}
1315986,6.823,31,{}
1061474,7.4,1123,"{'8.0': 2, '7.0': 2, '6.0': 2, '9.0': 1}"
1011477,7.231,526,{'6.0': 2}
1119878,7.025,139,{'5.0': 1}
1124619,5.815,27,{}
617126,7.291,206,{'7.0': 1}
541671,7.498,1131,"{'7.0': 1, '6.0': 2, '8.0': 1, '10.0': 1}"
1234821,6.4,783,"{'5.0': 4, '7.0': 1, '6.0': 1}"
1374534,5.826,92,{}
803796,8.528,774,{'7.0': 1}
986056,7.4,1972,"{'7.0': 3, '8.0': 2, '9.0': 3, '6.0': 3, '10.0': 2}"
574475,7.2,1730,"{'7.0': 2, '9.0': 2, '8.0': 1, '6.0': 1, '10.0': 1}"
1058537,5.452,21,{}
846422,6.062,538,{'5.0': 1}
749170,6.952,540,"{'7.0': 3, '5.0': 1}"
968171,6.056,9,{}
