budget,revenue,runtime,genres
150000000,590844400,125,Fantasy Family Action 
25000000,38655333,120,Action Science Fiction Thriller 
100000000,1009085726,108,Family Science Fiction Comedy Adventure 
0,49400000,0,Animation Action Fantasy Thriller 
0,0,103,Action Drama 
225000000,426275766,130,Science Fiction Adventure Action 
45000000,105456077,94,Action Adventure Drama 
0,0,113,Action Thriller Drama 
20000000,0,105,Action Comedy 
200000000,0,115,Science Fiction Adventure 
90000000,131774389,125,Action Thriller Crime 
180000000,676598113,134,Science Fiction Adventure Action 
0,0,95,Action Comedy Crime Mystery 
0,0,96,Animation Fantasy Comedy Music Family Action 
180000000,382129024,127,Action Science Fiction Adventure 
50000000,285301495,110,Horror Mystery 
3200000,0,103,Horror Action Fantasy Adventure 
7000000,0,107,Action Fantasy 
0,0,113,Action Thriller Comedy 
0,0,78,Comedy 
